date,how to unfollow someone on instagram,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a google account,how to delete a twitter account,government monitoring social media,how to delete pokemongo,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,how to encrypt whatsapp messages,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,Facebook Privacy settings,Gmail privacy,private instagram posts,How to make tweets private,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2015-08-01,63,36,88,14,4,157,10,16,34,25,140,163,174,281,225,2,0,171,90,198,5,23,35,14,7,81,6,4,6,3,3,5,4,4,2,20,0,3,2,9,0,16,2,300,128,20,7,11,244,9,8,16,2,11,213,49,99,5,6,19,2,8
2015-09-01,76,39,72,14,7,147,10,12,25,40,108,120,147,265,229,2,0,163,74,172,17,21,46,22,7,186,8,3,9,8,2,4,4,5,4,13,1,2,3,15,0,13,7,464,138,22,8,17,217,10,9,13,6,17,194,43,91,1,4,11,4,5
2015-10-01,59,37,69,12,5,129,11,12,24,37,103,102,140,242,290,2,0,155,64,168,9,21,41,16,5,149,7,2,13,4,7,5,2,4,5,9,0,2,3,15,0,17,6,282,133,13,6,15,224,8,10,17,7,15,185,39,75,2,11,19,3,8
2015-11-01,67,40,73,16,5,149,17,12,18,37,103,100,143,230,258,2,0,134,66,149,11,14,28,19,2,57,6,5,8,9,5,4,3,3,4,9,0,3,5,18,0,16,5,255,130,17,7,11,224,5,5,16,4,18,197,41,85,7,6,13,1,7
2015-12-01,67,52,78,14,5,142,8,15,17,47,132,122,152,252,258,2,0,159,67,137,17,16,34,18,6,57,6,5,9,10,6,4,1,4,6,14,1,2,4,12,0,17,6,228,108,19,6,12,204,6,4,17,4,10,229,45,91,3,7,18,3,8
2016-01-01,79,42,80,14,6,149,10,13,18,32,127,143,187,300,254,2,0,138,71,137,13,25,36,21,4,98,10,3,9,7,4,3,4,4,3,15,0,2,4,10,0,11,6,228,118,20,11,16,227,5,5,11,6,12,241,43,107,3,7,20,6,6
2016-02-01,76,40,67,11,4,142,10,12,23,38,122,118,158,246,183,3,0,146,71,154,19,22,49,15,8,169,7,4,16,9,3,8,3,7,5,10,1,1,2,16,0,21,3,228,130,16,7,15,220,5,6,21,3,15,244,39,90,5,4,19,3,4
2016-03-01,71,36,76,17,5,149,10,14,23,40,125,145,189,242,218,2,0,121,55,139,18,25,39,16,9,130,10,4,10,8,6,7,4,3,2,11,1,2,2,19,0,13,3,237,133,21,8,12,254,7,12,13,3,17,225,47,79,4,2,23,5,8
2016-04-01,62,42,75,26,6,129,10,14,13,35,105,145,158,242,240,2,0,134,54,141,31,25,31,20,13,69,8,4,9,11,3,3,3,19,2,13,1,35,3,16,0,14,4,228,135,24,4,18,224,6,8,14,5,15,254,47,99,3,11,26,2,94
2016-05-01,64,39,73,19,5,118,8,14,11,37,108,168,160,246,222,4,0,146,58,125,23,28,24,12,9,59,9,6,7,8,8,2,5,6,2,11,1,6,1,12,0,6,6,228,123,24,5,15,224,9,13,6,8,19,225,47,83,4,7,19,7,25
2016-06-01,80,50,75,21,4,111,15,13,18,41,130,172,198,242,225,3,0,155,63,133,38,26,30,20,11,115,13,6,8,9,4,3,3,7,2,5,1,5,3,20,0,11,4,291,103,29,3,21,220,5,9,11,5,14,279,49,111,3,3,24,3,19
2016-07-01,100,48,74,20,10,124,12,12,22,39,137,179,220,323,240,2,18,142,70,152,25,28,54,19,14,179,11,7,9,10,3,4,4,5,1,11,3,5,3,18,44,16,5,264,143,30,4,11,174,10,8,16,5,18,304,58,107,5,3,21,4,16
2016-08-01,82,43,81,26,9,136,9,12,17,42,125,158,187,288,243,0,5,134,75,156,28,31,41,17,8,96,10,5,10,10,7,4,3,5,3,11,1,3,2,13,12,20,4,219,123,28,7,17,204,8,8,20,4,14,282,54,96,3,5,19,6,14
2016-09-01,65,40,78,26,2,101,10,14,16,33,98,147,143,284,225,1,1,138,70,143,18,23,32,16,8,61,7,7,9,12,4,5,2,16,1,6,0,4,3,23,4,19,5,264,125,30,5,19,230,6,10,19,4,21,263,39,79,5,6,25,4,10
2016-10-01,56,36,73,20,5,93,11,10,17,38,103,142,183,268,211,2,0,138,64,147,30,22,26,16,7,74,8,5,9,7,5,5,3,5,4,6,1,5,2,19,3,15,7,255,138,27,6,16,210,7,12,15,5,13,266,56,82,2,6,23,2,15
2016-11-01,83,42,69,22,4,95,10,9,21,32,86,143,203,262,211,2,1,150,66,168,27,29,51,17,6,244,11,5,12,8,7,3,5,8,4,6,2,1,3,20,0,12,8,228,120,24,5,24,187,8,6,12,9,16,254,54,90,4,7,23,5,10
2016-12-01,74,42,70,27,5,108,10,10,24,43,118,159,214,288,225,3,0,142,64,174,24,24,54,15,9,93,10,4,11,9,6,5,1,5,3,6,1,6,2,13,2,14,9,219,113,44,3,32,200,4,8,14,10,13,260,58,86,3,5,14,6,14
2017-01-01,67,36,94,31,7,136,13,14,21,42,115,167,223,281,250,2,2,175,62,149,17,27,52,25,4,76,11,3,8,10,6,3,3,3,2,9,2,3,2,22,1,14,6,237,138,35,6,24,200,12,13,14,6,12,313,60,100,1,8,16,4,8
